"Id","Mese","Id Equipaggio","UPL","Classe","Valore medio della merce consegnata in un giro [€/giro]","# giorni lavorati nel mese","# clienti 
serviti nel mese","Delta (orario di fine montaggio EFFETTIVO - orario di fine montaggio CONCORDATO) [min]","# consegne ripianificate per problemi nel TRASPORTO","# consegne ripianificate per problemi nel MONTAGGIO di ""TIPO 1"" (camere, armadio e camerette)","# consegne ripianificate per problemi nel MONTAGGIO di ""TIPO 2"" (cucine e soggiorni)","# consegne ripianificate per problemi nel MONTAGGIO  di ""TIPO 3"" (arredo bagno, tavoli, sedie)","# consegne ripianificate per CAUSE LATO CLIENTE FINALE (assenza) e AZIENDA COMMITTENTE (es. pezzi mancanti)",""
"1","1","1381","Milano Sud-Est","A ","42,609","24","71","-60.5","0","0","2","0","3",""
"2","1","1464","Milano Sud-Est","A ","29,313","17","55","-29.0","0","0","0","0","5",""
"3","1","1501","Milano Sud-Est","A ","12,483","8","14","-62.6","1","0","0","0","3",""
"4","1","2007","Milano Sud-Est","A ","25,477","15","31","-153.0","0","0","1","0","2",""
"5","1","2242","Milano Sud-Est","B ","71,950","25","97","92.5","8","2","2","1","3",""
"6","1","2399","Milano Sud-Est","A ","22,101","13","32","-109.1","0","1","1","0","3",""
"7","1","2529","Milano Sud-Est","A ","39,632","12","40","-120.3","1","0","8","0","3",""
"8","1","2657","Milano Sud-Est","A ","23,551","15","68","-49.6","1","0","1","0","2",""
"9","1","2884","Milano Sud-Est","A ","38,218","23","70","-94.5","3","0","0","0","3",""
"10","1","2914","Milano Sud-Est","A ","15,334","4","22","13.0","0","1","0","0","2",""
"11","1","2971","Milano Sud-Est","A ","7,044","2","8","255.5","0","1","0","0","3",""
"12","1","3433","Milano Sud-Est","A ","47,870","22","79","54.8","4","0","2","0","3",""
"13","1","3457","Milano Sud-Est","A ","18,891","5","25","140.8","2","0","0","0","2",""
"14","1","3461","Milano Sud-Est","A ","21,812","13","25","-78.2","1","1","1","0","2",""
"15","1","3590","Milano Sud-Est","A ","62,020","25","96","-95.4","1","0","2","0","3",""
"16","1","3620","Milano Sud-Est","A ","20,037","16","40","25.2","2","0","4","0","2",""
"17","1","3637","Milano Sud-Est","A ","35,696","20","77","-83.6","0","1","0","0","4",""
"18","1","3671","Milano Sud-Est","A ","53,862","24","93","-40.3","3","0","2","0","3",""
"19","1","3726","Milano Sud-Est","A ","19,706","13","33","-81.8","1","0","1","0","3",""
"20","1","3911","Milano Sud-Est","A ","34,937","14","47","-106.8","2","0","2","0","2",""
